"export-plot data (NetLogo 6.2.2)"
"Cholera-Transmission-Model-V3.nlogo"
"05/06/2022 20:24:35:315 -0700"

"MODEL SETTINGS"
"day-length","infection-duration","initial-population","download-path","decontamination-chance","stop-cycle","max-immunity","initial-people-immune","initial-people-infected","travelers-per-day","run-multiple"
"75","150","201","""c:/Users/wesmu/Desktop/plotg3.csv""","15","750","200","193","1","5","true"

"""Final Healthy Populations"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","171","0","100","true","""default""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","1","6.84","0","164.16"

"""default"""
"x","y","color","pen down?"
"0","4","0","true"
"6.84","22","0","true"
"13.68","49","0","true"
"20.52","35","0","true"
"27.36","16","0","true"
"34.2","18","0","true"
"41.04","15","0","true"
"47.879999999999995","29","0","true"
"54.72","15","0","true"
"61.56","7","0","true"
"68.4","9","0","true"
"75.24","10","0","true"
"82.08","6","0","true"
"88.92","22","0","true"
"95.75999999999999","22","0","true"
"102.6","24","0","true"
"109.44","5","0","true"
"116.28","1","0","true"
"123.12","7","0","true"
"129.96","31","0","true"
"136.8","49","0","true"
"143.64","50","0","true"
"150.48","40","0","true"
"157.32","14","0","true"
"164.16","1","0","true"
